City,Rainfall_Jan,Rainfall_Feb,Rainfall_Mar,Rainfall_Apr,Rainfall_May,Rainfall_Jun,Rainfall_Jul,latitude,longitude
London,1.9,1.5,1.5,1.6,1.9,1.9,2.3,51.5064201,-0.12721
Paris,7.2,4.7,6.2,8.1,12.7,11.8,9.3,48.8569298,2.3412001
Rome,3.1,2.8,,2.7,2.6,2,1.3,41.9030495,12.4958
New York,3.1,3,3.9,3.7,3.7,3.2,4,40.7820015,-73.8317032
Vancouver,5.7,4.8,4,2.7,2.2,1.9,1.2,49.2811012,-123.0439987
Sydney,4.1,4.4,5.2,5.1,4.8,5.1,4,-33.8740005,151.2030029
Moscow,1.4,1.1,1.3,1.5,2,2.6,3.2,55.7569695,37.6150208
Tokyo,2,2.8,4.2,5.1,5.7,6.9,5.3,35.6832085,139.8089447
Beijing,0.2,0.2,0.3,0.7,1.3,3.1,8.8,39.9065704,116.3876495
San Francisco,4.4,3,3.1,1.3,0.4,0.2,0,37.7771187,-122.4196396
Cairo,0.2,0.1,0.1,0.1,0,0,0,30.0454197,31.2421093
Bangkok,0.4,1.1,1.2,2.8,7.5,6,6.2,13.7533503,100.5048294
Lima,0,0,0,0,0,0,0,-12.0561399,-77.0268021
Madison,1.2,1.5,2.2,3.4,3.5,4.5,4.2,43.042469,-89.4039688
Miami,1.6,2.2,3,3.2,5.4,9.7,6.5,25.7748108,-80.197731
